np,nc,no
4.56068,0.335693,240.96
4.54533,0.605469,244.94
4.54303,0.213623,242.531
4.21867,0.562744,243.578
4.25218,0.600586,244.102
4.32374,0.482178,241.903
4.20481,0.380859,245.358
3.93718,0.637207,244.94
3.88578,0.311279,244.94
3.75723,0.238037,245.568
3.78464,0.327148,245.777
3.69804,-0.0866699,246.72
3.56803,0.272217,245.777
3.65468,0.065918,246.929
3.49591,0.41748,247.558
3.26953,0.360107,245.149
3.11226,-0.0231934,247.558
3.20519,0.151367,245.568
2.79436,0.561523,247.139
2.77769,-0.00244141,246.929
2.87358,0.134277,249.128
2.53127,0.0256348,247.767
2.45665,-0.283203,246.72
2.33413,-0.134277,246.51
2.17213,0.0427246,244.311
1.94484,-0.0427246,247.976
1.93571,0.12085,246.72
1.69578,0.0683594,247.558
1.73899,-0.0354004,246.929
1.78546,0.123291,244.94
1.54137,-0.141602,247.139
1.52083,-0.582275,243.578
1.37184,-0.142822,246.091
1.10565,-0.41626,246.091
0.973464,-0.098877,246.091
1.02549,-0.203857,243.159
0.703482,-0.137939,242.112
0.714745,-0.258789,242.322
0.811646,-0.421143,242.95
0.545207,-0.146484,239.704
0.502302,-0.474854,240.96
0.291861,-0.345459,239.285
0.345874,-0.402832,237.295
0.364518,-0.595703,240.122
0.16338,-0.543213,237.295
0.118679,-0.837402,239.494
0.0553288,-0.510254,236.352
-0.157068,-0.755615,234.886
-0.138429,-0.594482,233.944
-0.209209,-0.705566,232.059
-0.155185,-0.609131,233.734
-0.309845,-0.528564,232.268
-0.306101,-0.640869,232.897
-0.320981,-0.407715,230.069
-0.481263,-0.511475,228.917
-0.373186,-0.36377,228.499
-0.46078,-0.638428,225.881
-0.389965,-0.576172,226.299
-0.58752,-0.67627,225.671
-0.568919,-0.426025,223.891
-0.634021,-0.540771,223.472
-0.481281,-0.473633,222.844
-0.676962,-0.50415,221.482
-0.669407,-0.643311,219.911
-0.675086,-0.720215,219.074
-0.578281,-0.708008,217.817
-0.650982,-0.682373,216.875
-0.632147,-0.690918,214.466
-0.635861,-0.700684,215.409
-0.701086,-0.955811,211.848
-0.74401,-0.749512,211.01
-0.749673,-0.445557,212.686
-0.690057,-0.692139,208.602
-0.626569,-0.500488,212.267
-0.673093,-0.802002,206.822
-0.784824,-0.495605,206.193
-0.770001,-0.748291,205.46
-0.704909,-0.759277,201.586
-0.607934,-0.483398,204.622
-0.62285,-0.605469,202.633
-0.70678,-0.797119,202.423
-0.581839,-0.656738,202.633
-0.544578,-0.808105,198.758
-0.524054,-0.709229,198.025
-0.445858,-0.466309,196.035
-0.533477,-0.615234,195.826
-0.434745,-0.670166,195.198
-0.511074,-0.559082,192.789
-0.499836,-0.601807,194.779
-0.499839,-0.670166,191.428
-0.348984,-0.633545,191.428
-0.259588,-0.474854,190.59
-0.280075,-0.483398,188.391
-0.320996,-0.438232,188.181
-0.289322,-0.684814,188.391
-0.160784,-0.682373,185.773
-0.244636,-0.34668,184.935
0.0497292,-0.471191,184.726
0.196893,-0.351563,182.736
0.0329644,-0.531006,182.945
0.118649,-0.543213,183.155
0.116798,-0.413818,179.176
0.224855,-0.474854,179.176
0.295574,-0.231934,180.956
0.260141,-0.29541,178.547
0.353261,-0.421143,178.757
0.424112,-0.194092,181.165
0.567619,-0.300293,175.301
0.627131,-0.372314,175.929
0.673632,-0.509033,176.558
0.692296,-0.306396,171.95
0.737011,-0.134277,175.091
0.90282,-0.0622559,173.521
0.999648,-0.285645,174.568
0.986387,-0.181885,174.358
1.05702,-0.0598145,172.578
1.07189,-0.0170898,171.112
1.31402,0.0390625,171.74
1.44077,0.166016,169.332
1.34599,0.0866699,172.578
1.44279,-0.0195313,170.17
1.44459,-0.3479,168.285
1.43146,0.0415039,171.531
1.58417,0.20874,168.494
1.64029,0.22583,170.17
1.72196,0.0927734,171.112
1.88923,0.13916,168.494
1.95246,0.0793457,169.122
1.9005,0.107422,169.541
1.8264,0.145264,169.96
1.90456,0.0842285,168.704
2.08276,0.275879,168.913
2.29668,0.328369,169.332
2.3619,0.334473,169.541
2.31582,0.178223,168.913
2.38832,0.257568,169.751
2.49412,0.332031,168.913
2.55362,0.299072,167.761
2.62384,0.366211,171.112
2.69669,0.760498,171.322
2.65627,0.467529,169.96
2.81439,0.372314,173.102
2.9985,0.255127,173.521
3.06355,0.410156,169.751
3.12508,0.74707,173.311
3.02626,0.720215,171.531
3.07467,0.605469,170.17
3.12887,0.366211,174.149
3.27917,0.334473,173.102
3.26751,0.644531,175.091
3.36384,0.649414,176.348
3.59099,0.588379,177.919
3.60082,0.71167,176.558
3.88251,0.477295,176.767
3.85336,0.672607,177.5
3.86204,0.875244,176.767
4.01367,0.698242,181.165
3.86697,0.534668,177.709
4.16092,0.495605,180.956
4.30091,0.905762,181.584
4.25052,0.909424,180.537
4.22397,0.712891,184.726
4.11218,0.366211,182.527
4.26958,0.634766,183.364
4.23058,1.23779,185.773
4.28905,0.914307,185.773
4.34287,0.594482,186.611
4.52307,0.736084,187.344
4.61597,0.805664,188.6
4.3395,1.00586,187.972
4.50678,0.727539,189.962
4.67916,0.799561,190.799
4.66651,1.0498,188.181
4.51735,0.875244,193.208
4.50119,0.610352,193.417
4.49964,0.632324,192.789
4.58969,0.823975,197.816
4.73473,0.664063,193.627
4.64837,1.02295,195.617
4.71335,0.922852,196.768
4.9463,0.679932,194.15
4.95851,0.834961,198.758
4.53617,0.72876,198.968
4.4362,0.415039,200.015
4.41157,0.695801,203.052
4.47127,0.865479,201.376
4.45125,0.584717,201.586
4.4088,0.847168,202.423
4.55478,0.799561,202.842
4.51727,0.859375,203.994
4.3987,0.567627,206.403
4.37792,0.826416,205.251
4.27214,0.606689,207.45
4.23507,0.491943,207.659
4.23708,0.64209,207.659
4.24065,0.279541,209.44
4.18607,0.440674,208.602
4.20135,0.441895,209.649
4.0915,0.566406,211.639
3.96324,0.418701,209.23
3.91801,0.371094,212.058
3.7857,0.596924,212.267
3.75412,0.384521,209.44
3.8184,0.805664,214.257
3.7785,0.400391,213
3.74929,0.534668,214.885
3.74985,0.518799,216.246
3.49154,0.548096,213.628
3.50292,0.427246,215.618
3.45431,0.206299,213.209
3.29784,0.430908,214.676
